,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
3959,39.0,Private,153976.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52.0,United-States,>50K
3960,43.0,Private,174575.0,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Male,0,0,45.0,United-States,<=50K
3961,62.0,Self-emp-not-inc,82388.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10566,0,40.0,United-States,<=50K
3962,30.0,Private,207253.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,England,<=50K
3963,78.0,,251951.0,HS-grad,9,Widowed,,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
3964,39.0,Private,448337.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55.0,United-States,>50K
3965,41.0,Private,308296.0,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,20.0,United-States,<=50K
3966,49.0,Private,101825.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,40.0,United-States,>50K
3967,25.0,Private,109009.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
3968,48.0,Private,413363.0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40.0,United-States,<=50K
3970,44.0,State-gov,296326.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
3971,36.0,Private,208358.0,9th,5,Divorced,Handlers-cleaners,Not-in-family,White,Male,4650,0,56.0,United-States,<=50K
3972,40.0,Private,120277.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40.0,Ireland,<=50K
3973,21.0,Private,193219.0,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,35.0,Jamaica,<=50K
3974,41.0,Private,86399.0,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,38.0,United-States,<=50K
3975,24.0,Private,215251.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
3976,67.0,Self-emp-not-inc,124470.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60.0,United-States,<=50K
3977,24.0,Private,228649.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,38.0,United-States,<=50K
3978,50.0,Self-emp-not-inc,386397.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,<=50K
3979,48.0,Private,96798.0,Masters,14,Divorced,Sales,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
3980,55.0,,106707.0,Assoc-acdm,12,Married-civ-spouse,,Husband,Black,Male,0,0,20.0,United-States,>50K
3981,29.0,Private,159768.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,3325,0,40.0,Ecuador,<=50K
3982,50.0,Private,139464.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,36.0,Ireland,<=50K
3983,64.0,State-gov,448337.0,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
3984,49.0,Private,68505.0,9th,5,Divorced,Other-service,Not-in-family,Black,Male,0,0,37.0,United-States,<=50K
3985,20.0,Private,122215.0,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,52.0,United-States,<=50K
3986,30.0,Private,159442.0,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
3987,37.0,Private,80638.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,30.0,China,<=50K
3988,52.0,Private,192390.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,>50K
3989,22.0,Private,191324.0,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,25.0,United-States,<=50K
3991,19.0,State-gov,73009.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,15.0,United-States,<=50K
3992,52.0,Private,177858.0,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,55.0,United-States,>50K
3993,42.0,Private,163003.0,Bachelors,13,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
3994,35.0,Private,95551.0,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,0,0,36.0,United-States,<=50K
3995,27.0,Private,125298.0,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,50.0,United-States,<=50K
3996,54.0,State-gov,198186.0,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,38.0,United-States,<=50K
3997,37.0,Private,295949.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1628,40.0,United-States,<=50K
3998,37.0,Private,182668.0,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35.0,United-States,<=50K
3999,28.0,Private,124905.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30.0,United-States,<=50K
4000,63.0,Private,171635.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,<=50K
4001,19.0,Private,376240.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,42.0,United-States,<=50K
4002,28.0,Private,157391.0,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
4003,23.0,,114357.0,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4004,44.0,Private,178134.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,>50K
4005,31.0,Private,207201.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
4006,35.0,Private,124483.0,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50.0,,>50K
4007,64.0,Private,102103.0,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
4008,40.0,Private,92036.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,>50K
4009,59.0,Local-gov,236426.0,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
4010,22.0,Private,400966.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40.0,United-States,<=50K
4011,40.0,Private,404573.0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,44.0,United-States,<=50K
4012,35.0,Private,227571.0,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,Mexico,<=50K
4013,20.0,Private,145917.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15.0,United-States,<=50K
4014,35.0,Local-gov,190226.0,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40.0,United-States,<=50K
4015,28.0,Private,356555.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48.0,United-States,<=50K
4016,28.0,Private,66473.0,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40.0,United-States,<=50K
4017,37.0,,172256.0,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,20.0,United-States,<=50K
4019,25.0,Self-emp-inc,163039.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
4020,37.0,Private,89559.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4021,19.0,,35507.0,Some-college,10,Never-married,,Own-child,White,Female,0,0,45.0,United-States,<=50K
4022,31.0,Private,163303.0,Assoc-voc,11,Divorced,Sales,Own-child,White,Female,0,0,38.0,United-States,<=50K
4023,41.0,Private,192712.0,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40.0,United-States,<=50K
4024,31.0,Private,381153.0,10th,6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,>50K
4025,44.0,Private,222434.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
4026,20.0,Private,34706.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,47.0,United-States,<=50K
4027,57.0,Self-emp-not-inc,47857.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50.0,United-States,<=50K
4029,44.0,Self-emp-inc,103643.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,60.0,Greece,<=50K
4030,29.0,Local-gov,329426.0,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4031,36.0,Private,183612.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40.0,United-States,>50K
4032,40.0,Private,184105.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
4033,21.0,Private,211385.0,Assoc-acdm,12,Never-married,Other-service,Not-in-family,Black,Male,0,0,35.0,Jamaica,<=50K
4035,34.0,Self-emp-not-inc,320194.0,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Male,0,0,48.0,United-States,>50K
4036,24.0,Private,199444.0,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,15.0,United-States,<=50K
4037,28.0,Private,312588.0,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4038,35.0,Private,168675.0,HS-grad,9,Separated,Transport-moving,Own-child,White,Male,0,0,50.0,United-States,<=50K
4039,35.0,Private,87556.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4040,38.0,State-gov,220421.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4041,44.0,Federal-gov,404599.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
4042,39.0,Private,99065.0,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40.0,Poland,>50K
4043,57.0,Local-gov,109973.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4044,19.0,Private,246652.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
4045,29.0,Private,57423.0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48.0,United-States,<=50K
4046,23.0,Private,291248.0,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,40.0,United-States,<=50K
4047,50.0,Private,163708.0,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4048,51.0,Self-emp-not-inc,240358.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20.0,United-States,<=50K
4049,28.0,Private,25955.0,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40.0,United-States,<=50K
4050,44.0,Private,101593.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,<=50K
4051,29.0,Self-emp-not-inc,227890.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
4052,31.0,Private,225053.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
4053,27.0,Private,228472.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,>50K
4054,34.0,Private,245378.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45.0,United-States,<=50K
4055,50.0,Self-emp-inc,156623.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7688,0,50.0,Philippines,>50K
4056,27.0,Private,35032.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,>50K
4057,31.0,Private,258849.0,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
4058,46.0,Private,190115.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
4059,39.0,Private,63910.0,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
4060,40.0,Private,448337.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55.0,United-States,>50K
4061,28.0,Private,210867.0,11th,7,Divorced,Sales,Own-child,White,Male,0,0,40.0,United-States,<=50K
4062,18.0,Private,263024.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
4063,51.0,Private,306785.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4064,58.0,Self-emp-inc,104333.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
4065,66.0,Private,340734.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,<=50K
4066,36.0,Self-emp-not-inc,288585.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,20.0,South,<=50K
4067,38.0,Private,241765.0,11th,7,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,60.0,United-States,<=50K
4068,25.0,Private,111058.0,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Male,0,0,40.0,United-States,<=50K
4069,25.0,Private,104662.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,22.0,United-States,<=50K
4070,78.0,Private,313986.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40.0,United-States,<=50K
4071,41.0,Local-gov,52037.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4072,34.0,,146589.0,HS-grad,9,Never-married,,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
4073,33.0,Private,131776.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,914,0,40.0,Germany,<=50K
4074,33.0,Private,254221.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4075,35.0,Private,152909.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45.0,United-States,>50K
4076,39.0,Self-emp-not-inc,211785.0,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Female,0,0,20.0,United-States,<=50K
4077,59.0,Private,160362.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,<=50K
4078,19.0,Private,387215.0,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,1719,16.0,United-States,<=50K
4079,39.0,Private,187046.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4064,0,38.0,United-States,<=50K
4080,19.0,,208874.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,40.0,United-States,<=50K
4081,27.0,Private,169631.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40.0,United-States,<=50K
4082,52.0,Private,202956.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
4083,59.0,Self-emp-not-inc,80467.0,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,24.0,United-States,<=50K
4084,28.0,Private,407672.0,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4085,37.0,Private,243425.0,HS-grad,9,Divorced,Other-service,Other-relative,White,Female,0,0,50.0,Peru,<=50K
4087,36.0,Private,347491.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
4088,34.0,Private,146161.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60.0,United-States,>50K
4089,23.0,Private,448337.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40.0,United-States,<=50K
4090,19.0,,175499.0,11th,7,Never-married,,Own-child,White,Female,0,0,30.0,United-States,<=50K
4092,27.0,Local-gov,134813.0,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,52.0,United-States,<=50K
4093,31.0,Local-gov,190401.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
4094,21.0,Private,260617.0,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,36.0,United-States,<=50K
4095,31.0,Private,45604.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54.0,United-States,<=50K
4096,59.0,Private,67841.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,>50K
4097,40.0,Local-gov,244522.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,48.0,United-States,>50K
4098,19.0,Private,430471.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40.0,United-States,<=50K
4099,47.0,Private,194698.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50.0,United-States,<=50K
4100,34.0,Private,94235.0,Bachelors,13,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
4102,51.0,Local-gov,146181.0,9th,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40.0,United-States,<=50K
4103,21.0,Private,177125.0,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20.0,United-States,<=50K
4104,30.0,Self-emp-inc,68330.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,<=50K
4105,46.0,Private,95636.0,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
4106,40.0,Private,238329.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45.0,United-States,<=50K
4107,52.0,Private,416129.0,Preschool,1,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,40.0,El-Salvador,<=50K
4108,23.0,Private,285004.0,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50.0,Taiwan,<=50K
4110,25.0,Private,186294.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
4111,43.0,Private,188786.0,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
4112,38.0,State-gov,31352.0,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40.0,United-States,>50K
4113,22.0,Private,197613.0,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,30.0,United-States,<=50K
4114,33.0,Local-gov,161942.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,1055,0,40.0,United-States,<=50K
4115,34.0,Private,275438.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,40.0,United-States,>50K
4116,65.0,Private,361721.0,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20.0,United-States,<=50K
4117,50.0,Private,144968.0,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,15.0,United-States,<=50K
4118,29.0,Private,190539.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,6849,0,48.0,United-States,<=50K
4119,25.0,Private,178037.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
4120,54.0,Private,306985.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4121,49.0,Private,87928.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,>50K
4122,44.0,Private,242619.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
4123,24.0,Private,154165.0,9th,5,Divorced,Other-service,Own-child,White,Female,0,0,40.0,United-States,<=50K
4124,25.0,Private,448337.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,38.0,United-States,<=50K
4125,65.0,Local-gov,221026.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20.0,United-States,<=50K
4126,56.0,Self-emp-not-inc,222182.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,45.0,United-States,<=50K
4127,39.0,Self-emp-not-inc,126569.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60.0,United-States,>50K
4128,23.0,Private,202344.0,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40.0,United-States,<=50K
4129,20.0,Private,190423.0,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
4130,24.0,Private,238917.0,5th-6th,3,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,El-Salvador,<=50K
4131,41.0,Private,221947.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50.0,United-States,>50K
4132,40.0,Self-emp-inc,37997.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50.0,United-States,<=50K
4133,55.0,Private,147098.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,United-States,>50K
4134,38.0,Private,278253.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48.0,United-States,<=50K
4135,23.0,Private,195411.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
4136,44.0,Private,76196.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,<=50K
4137,45.0,Private,120131.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40.0,United-States,>50K
4139,29.0,Private,205903.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40.0,United-States,<=50K
4140,43.0,State-gov,125405.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
4141,30.0,Private,219838.0,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4142,28.0,State-gov,19395.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38.0,United-States,<=50K
4143,31.0,Private,223327.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
4144,52.0,Private,114062.0,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4145,36.0,Private,95654.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50.0,Iran,>50K
4146,38.0,Private,177305.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,<=50K
4147,66.0,,299616.0,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
4148,63.0,Self-emp-not-inc,117681.0,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
4149,21.0,Private,237651.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,35.0,United-States,<=50K
4150,33.0,State-gov,150570.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4151,46.0,State-gov,106705.0,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,1506,0,50.0,United-States,<=50K
4152,20.0,,174714.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,20.0,United-States,<=50K
4153,47.0,Self-emp-inc,175958.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,3325,0,60.0,United-States,<=50K
4154,33.0,Private,144064.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55.0,United-States,>50K
4155,66.0,,107112.0,7th-8th,4,Never-married,,Other-relative,Black,Male,0,0,30.0,United-States,<=50K
4156,20.0,Private,54152.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30.0,,<=50K
4157,28.0,Private,152951.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4158,46.0,Private,190487.0,HS-grad,9,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,28.0,Ecuador,<=50K
4159,25.0,Private,306666.0,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,45.0,United-States,<=50K
4160,37.0,Private,195148.0,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,3137,0,40.0,United-States,<=50K
4161,31.0,Self-emp-not-inc,226624.0,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60.0,United-States,<=50K
4162,49.0,Private,157569.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
4163,22.0,State-gov,22966.0,Some-college,10,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,20.0,United-States,<=50K
4164,52.0,Private,379682.0,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20.0,United-States,>50K
4165,29.0,Private,446559.0,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50.0,United-States,<=50K
4166,18.0,Private,41794.0,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20.0,United-States,<=50K
4167,31.0,Local-gov,90409.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35.0,United-States,<=50K
4168,23.0,Private,125491.0,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,35.0,Vietnam,<=50K
4169,27.0,,129661.0,Assoc-voc,11,Married-civ-spouse,,Wife,Amer-Indian-Eskimo,Female,0,0,40.0,United-States,>50K
4171,50.0,Local-gov,169182.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,49.0,Dominican-Republic,<=50K
4172,46.0,Private,324655.0,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,40.0,,>50K
4173,24.0,Private,122272.0,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Female,0,0,40.0,United-States,<=50K
4174,17.0,,114798.0,11th,7,Never-married,,Own-child,White,Female,0,0,18.0,United-States,<=50K
4175,49.0,Self-emp-inc,289707.0,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
4176,54.0,Local-gov,137691.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
4177,41.0,Private,84610.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,60.0,United-States,>50K
4178,49.0,Private,166789.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
4179,36.0,Local-gov,348728.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
4180,23.0,Private,348092.0,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40.0,Haiti,<=50K
4181,63.0,Private,154526.0,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4182,67.0,Private,288371.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,Canada,>50K
