,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
29237,31191,38.0,Private,150057.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
4970,5283,40.0,Private,167265.0,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,43.0,United-States,<=50K
26514,28270,63.0,Private,76860.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,40.0,Philippines,>50K
3387,3598,25.0,Local-gov,44216.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35.0,United-States,<=50K
13467,14356,54.0,Private,123011.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,Poland,>50K
26270,28013,19.0,Private,41745.0,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40.0,United-States,<=50K
7710,8215,22.0,Private,157332.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,35.0,United-States,<=50K
12930,13782,44.0,Private,205474.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,>50K
25931,27651,43.0,Private,112763.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,8614,0,43.0,United-States,>50K
2529,2693,24.0,Private,145964.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
635,668,20.0,,114746.0,11th,7,Married-spouse-absent,,Own-child,Asian-Pac-Islander,Female,0,1762,40.0,South,<=50K
11753,12529,65.0,Private,172510.0,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,1848,0,20.0,Hungary,<=50K
13690,14599,36.0,Private,231948.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,64.0,United-States,>50K
1108,1171,50.0,Private,157043.0,11th,7,Divorced,Other-service,Not-in-family,Black,Female,0,0,40.0,United-States,<=50K
23083,24614,57.0,Self-emp-not-inc,152030.0,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,25.0,United-States,>50K
4679,4979,34.0,Private,448337.0,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,Guatemala,<=50K
7934,8457,23.0,Private,118693.0,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
15089,16088,54.0,Private,150999.0,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
4910,5219,51.0,Self-emp-inc,166386.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,35.0,Taiwan,<=50K
15128,16128,27.0,Private,57052.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40.0,United-States,<=50K
25141,26806,46.0,Private,78529.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60.0,United-States,>50K
23917,25499,27.0,Local-gov,163862.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60.0,United-States,<=50K
28183,30063,28.0,Private,448337.0,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,United-States,>50K
2961,3154,41.0,Private,119079.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,49.0,United-States,>50K
20033,21355,23.0,Private,198992.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35.0,United-States,<=50K
10060,10734,35.0,Private,112271.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,<=50K
19494,20777,49.0,Private,183013.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
9166,9776,36.0,Private,41490.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
23004,24533,39.0,Private,257942.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,>50K
30209,32224,40.0,Private,70645.0,Preschool,1,Never-married,Other-service,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
26707,28483,32.0,Private,226267.0,5th-6th,3,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,40.0,El-Salvador,<=50K
24307,25926,48.0,State-gov,44434.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,61.0,United-States,>50K
14910,15896,19.0,Private,259352.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
22318,23802,41.0,Private,264663.0,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40.0,United-States,<=50K
20077,21402,62.0,Self-emp-inc,236096.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
24006,25596,28.0,Private,288598.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35.0,United-States,<=50K
27537,29366,22.0,Private,336215.0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25.0,United-States,<=50K
3913,4152,20.0,,174714.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,20.0,United-States,<=50K
7462,7949,46.0,Private,384795.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,32.0,United-States,<=50K
30174,32188,29.0,Private,153416.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55.0,United-States,<=50K
26388,28139,54.0,Private,172281.0,Masters,14,Divorced,Tech-support,Not-in-family,White,Male,0,0,40.0,United-States,>50K
18827,20056,38.0,Self-emp-not-inc,151322.0,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
27057,28856,32.0,Private,86808.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,38.0,United-States,<=50K
24913,26564,43.0,Private,240504.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
20462,21818,50.0,Local-gov,157043.0,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Female,2202,0,30.0,,<=50K
19059,20305,44.0,Federal-gov,113597.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55.0,United-States,>50K
19409,20684,50.0,Private,138852.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50.0,United-States,>50K
13650,14554,59.0,Private,70720.0,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,55.0,United-States,>50K
27454,29279,17.0,Local-gov,39815.0,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,25.0,United-States,<=50K
20612,21977,24.0,Private,239663.0,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,Mexico,<=50K
22162,23635,29.0,Private,264961.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,45.0,United-States,<=50K
16383,17461,33.0,Private,204742.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44.0,United-States,<=50K
13694,14603,42.0,Self-emp-not-inc,177937.0,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,45.0,Poland,<=50K
4114,4371,29.0,Private,52636.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
3379,3590,23.0,Private,236601.0,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,48.0,United-States,<=50K
3181,3386,38.0,Private,203836.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3464,0,40.0,Columbia,<=50K
28437,30332,39.0,Private,339442.0,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,2176,0,40.0,United-States,<=50K
834,877,38.0,Private,411797.0,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
5335,5674,40.0,Private,208277.0,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,44.0,United-States,>50K
30186,32201,49.0,,113913.0,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,0,60.0,United-States,<=50K
10475,11176,31.0,Private,349148.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
15485,16507,44.0,Private,191256.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
29415,31375,35.0,Private,108293.0,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,32.0,United-States,>50K
23472,25023,46.0,Private,265105.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
16427,17509,36.0,Private,192614.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,56.0,United-States,<=50K
1008,1068,30.0,Private,181651.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,<=50K
20043,21366,28.0,Private,190391.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
4523,4815,31.0,Local-gov,168906.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35.0,United-States,<=50K
21124,22522,42.0,Private,208726.0,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45.0,United-States,<=50K
14566,15525,26.0,Private,82246.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,1876,38.0,United-States,<=50K
18755,19977,49.0,Private,261688.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,60.0,United-States,<=50K
21168,22569,35.0,Private,99357.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,30.0,United-States,>50K
14988,15978,25.0,Private,160261.0,Some-college,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,40.0,China,<=50K
17223,18344,26.0,Private,448337.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
3723,3952,30.0,Private,173005.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50.0,United-States,>50K
6108,6502,33.0,Private,213226.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
9236,9852,53.0,Private,145409.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,>50K
7104,7567,22.0,Private,141698.0,10th,6,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
4674,4974,56.0,Private,282023.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,>50K
9515,10153,27.0,Private,196044.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60.0,United-States,<=50K
27805,29651,24.0,Private,119156.0,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,50.0,United-States,<=50K
15479,16500,52.0,Private,178983.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,,>50K
7035,7494,31.0,Private,159187.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
22403,23895,28.0,Private,132191.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45.0,United-States,>50K
12796,13634,45.0,Private,358886.0,12th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,2407,0,50.0,United-States,<=50K
14066,14997,43.0,Private,258049.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,53.0,United-States,>50K
6897,7352,18.0,,192399.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,60.0,United-States,<=50K
20048,21371,30.0,Private,207668.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,60.0,Hungary,<=50K
12821,13662,62.0,Private,88579.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38.0,United-States,<=50K
27495,29321,36.0,Private,309122.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35.0,United-States,<=50K
4180,4446,49.0,Private,119182.0,HS-grad,9,Separated,Other-service,Not-in-family,Black,Female,0,0,35.0,United-States,<=50K
6555,6993,20.0,,111252.0,Some-college,10,Never-married,,Own-child,White,Female,0,0,30.0,United-States,<=50K
29230,31184,33.0,Private,204752.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40.0,United-States,<=50K
6215,6614,34.0,Private,177675.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,>50K
27499,29325,20.0,,133515.0,Some-college,10,Never-married,,Own-child,White,Female,0,0,15.0,France,<=50K
5331,5670,30.0,Private,381645.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
1187,1255,29.0,Private,128604.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40.0,United-States,<=50K
26850,28637,27.0,Private,176683.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,52.0,United-States,<=50K
12314,13126,37.0,Self-emp-not-inc,192251.0,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,2635,0,40.0,United-States,<=50K
24010,25600,51.0,Local-gov,186416.0,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21686,23121,23.0,Private,105617.0,9th,5,Never-married,Transport-moving,Own-child,White,Male,0,0,40.0,United-States,<=50K
8650,9228,46.0,Private,273771.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40.0,United-States,>50K
3209,3414,52.0,Self-emp-not-inc,194791.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
2684,2855,33.0,Private,149220.0,Assoc-voc,11,Never-married,Other-service,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
21467,22884,31.0,Private,252210.0,5th-6th,3,Never-married,Other-service,Own-child,White,Male,0,0,40.0,Mexico,<=50K
21676,23110,35.0,Private,381583.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,45.0,United-States,>50K
13348,14228,57.0,Self-emp-not-inc,34297.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
14545,15503,51.0,Private,155403.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40.0,United-States,<=50K
2018,2144,34.0,Private,209317.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,Puerto-Rico,<=50K
8156,8699,48.0,Local-gov,238959.0,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,9562,0,40.0,United-States,>50K
19694,20990,60.0,Private,226949.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,37.0,United-States,<=50K
3988,4234,31.0,Private,73796.0,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Female,0,0,30.0,United-States,<=50K
14151,15087,62.0,Private,448337.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,>50K
13154,14020,42.0,Private,184105.0,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,28.0,United-States,<=50K
23418,24968,58.0,Private,100313.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,40.0,United-States,>50K
7031,7490,41.0,Private,204046.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
26833,28617,37.0,Private,393360.0,Some-college,10,Never-married,Protective-serv,Own-child,Black,Male,0,0,30.0,United-States,<=50K
317,334,53.0,Private,242606.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
3034,3233,52.0,Private,141301.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21930,23382,39.0,Private,375452.0,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,48.0,United-States,>50K
14445,15397,40.0,Private,362482.0,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,<=50K
4857,5164,29.0,Private,207064.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
5272,5610,39.0,Local-gov,301614.0,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48.0,United-States,>50K
26351,28097,22.0,Private,324922.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
22961,24488,24.0,Private,172496.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,55.0,United-States,<=50K
1062,1124,48.0,Private,95244.0,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,35.0,United-States,<=50K
7471,7958,50.0,Local-gov,133963.0,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40.0,United-States,>50K
6065,6455,55.0,Private,163083.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
13123,13989,76.0,Private,203910.0,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,0,0,17.0,United-States,<=50K
9512,10150,58.0,Private,210673.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,United-States,>50K
13207,14079,24.0,Private,163665.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2174,0,40.0,United-States,<=50K
14526,15483,39.0,Private,247733.0,HS-grad,9,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,16.0,United-States,<=50K
21569,22996,27.0,Private,329426.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,37.0,United-States,<=50K
1040,1101,45.0,Self-emp-inc,149865.0,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60.0,United-States,>50K
17027,18135,25.0,Private,66935.0,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,0,0,40.0,United-States,<=50K
29204,31156,20.0,Private,381357.0,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,28.0,United-States,<=50K
24813,26455,29.0,Private,202878.0,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2042,40.0,United-States,<=50K
11368,12119,54.0,Self-emp-not-inc,58898.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1579,48.0,United-States,<=50K
12192,12996,37.0,,122265.0,HS-grad,9,Divorced,,Not-in-family,Asian-Pac-Islander,Female,0,0,42.0,,<=50K
7910,8429,18.0,,256191.0,HS-grad,9,Never-married,,Own-child,Black,Female,0,0,25.0,United-States,<=50K
23559,25117,30.0,Private,339773.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
23545,25101,36.0,Self-emp-inc,107218.0,Some-college,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,55.0,United-States,<=50K
9446,10075,39.0,Private,61343.0,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60.0,United-States,<=50K
30060,32063,30.0,Private,176410.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,7298,0,16.0,United-States,>50K
4683,4983,34.0,Private,117963.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
20133,21463,47.0,Private,238185.0,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
16949,18055,28.0,Private,375313.0,HS-grad,9,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,50.0,United-States,<=50K
5017,5332,23.0,Private,174626.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25.0,United-States,<=50K
19248,20504,62.0,Self-emp-not-inc,215944.0,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30.0,United-States,<=50K
16220,17284,29.0,Private,138190.0,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,1138,40.0,United-States,<=50K
26995,28789,20.0,Private,142233.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
29185,31132,27.0,Local-gov,289039.0,Some-college,10,Never-married,Protective-serv,Unmarried,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
20654,22020,42.0,Local-gov,281315.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
1024,1084,31.0,Private,232475.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
4590,4886,34.0,Private,114973.0,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,30.0,United-States,<=50K
8180,8726,36.0,Private,311255.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40.0,Haiti,<=50K
19321,20589,25.0,Local-gov,227886.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
22877,24401,60.0,Self-emp-not-inc,176839.0,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,0,45.0,United-States,>50K
22355,23845,47.0,Private,185041.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40.0,United-States,>50K
10158,10837,49.0,,202874.0,HS-grad,9,Separated,,Unmarried,White,Female,0,0,40.0,Columbia,<=50K
3327,3534,21.0,Private,300812.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,25.0,United-States,<=50K
11385,12136,20.0,Private,256240.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30.0,United-States,<=50K
15937,16985,57.0,Private,171242.0,11th,7,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40.0,Canada,<=50K
17919,19083,61.0,Local-gov,176731.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
15586,16612,24.0,Private,194630.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
16363,17441,32.0,Private,183801.0,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40.0,United-States,<=50K
13784,14698,44.0,Private,182629.0,Masters,14,Divorced,Sales,Not-in-family,White,Male,0,0,24.0,Iran,<=50K
28395,30289,24.0,Private,154422.0,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40.0,Philippines,<=50K
7291,7770,28.0,State-gov,119793.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
25254,26925,27.0,Private,279608.0,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,Mexico,<=50K
27444,29268,26.0,Local-gov,72594.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,55.0,United-States,>50K
8044,8574,28.0,Federal-gov,329426.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
24436,26061,22.0,Private,64520.0,12th,8,Never-married,Transport-moving,Unmarried,White,Male,0,0,30.0,United-States,<=50K
19081,20327,55.0,Private,35551.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
26907,28695,51.0,Self-emp-inc,96062.0,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,<=50K
10262,10947,72.0,Local-gov,144515.0,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1258,40.0,United-States,<=50K
20810,22186,31.0,Private,397467.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
5286,5624,21.0,Private,216070.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,46.0,United-States,>50K
28127,30003,20.0,Private,211968.0,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,15.0,United-States,<=50K
6974,7432,46.0,Private,114032.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1887,45.0,United-States,>50K
7450,7936,32.0,State-gov,71151.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,20.0,United-States,<=50K
16373,17451,61.0,Private,85194.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25.0,United-States,<=50K
17818,18976,24.0,Private,90046.0,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
21464,22881,32.0,Private,206051.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
20230,21568,59.0,Private,196482.0,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
17263,18389,17.0,Local-gov,244856.0,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,40.0,United-States,<=50K
16131,17188,61.0,Private,191188.0,10th,6,Widowed,Farming-fishing,Unmarried,White,Male,0,0,20.0,United-States,<=50K
18481,19679,22.0,Private,189888.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45.0,United-States,<=50K
29276,31232,44.0,Private,242521.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50.0,United-States,>50K
5479,5830,60.0,Private,183162.0,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
10665,11378,20.0,Private,102607.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30.0,United-States,<=50K
11190,11934,34.0,Private,153927.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
11756,12532,28.0,Private,263015.0,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
27902,29761,36.0,Private,30509.0,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45.0,United-States,<=50K
17844,19002,47.0,Private,323798.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,55.0,United-States,>50K
27080,28879,43.0,Private,185129.0,Bachelors,13,Divorced,Tech-support,Own-child,White,Male,0,0,40.0,United-States,<=50K
11168,11912,45.0,Private,195949.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
27985,29847,49.0,Private,195612.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40.0,United-States,>50K
22030,23492,37.0,Private,61778.0,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,30.0,United-States,<=50K
8012,8540,35.0,Local-gov,258037.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,Cuba,>50K
13192,14062,25.0,Private,212311.0,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
7240,7715,24.0,Private,249351.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40.0,United-States,<=50K
20561,21924,20.0,Private,116830.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
